#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
263,2023072005003653,NTC,43,44,50,910.00,"45,500.00"
264,2023072005003652,NTC,42,44,50,910.00,"45,500.00"
265,2023072005003651,NTC,1,44,50,910.00,"45,500.00"
266,2023072005003650,NTC,45,44,10,910.00,"9,100.00"
267,2023072005003649,NTC,58,44,60,910.00,"54,600.00"
268,2023072005003648,NTC,19,44,50,910.00,"45,500.00"
269,2023072005003647,NTC,58,44,20,910.00,"18,200.00"
270,2023072005003646,NTC,58,44,100,910.00,"91,000.00"
271,2023072005003645,NTC,58,44,10,910.00,"9,100.00"
272,2023072005003644,NTC,49,44,83,910.00,"75,530.00"
273,2023072005003643,NTC,52,44,247,910.10,"224,794.70"
274,2023072005003642,NTC,58,44,10,910.10,"9,101.00"
275,2023072005003641,NTC,26,44,20,910.10,"18,202.00"
276,2023072005003640,NTC,26,44,30,910.20,"27,306.00"
277,2023072005003639,NTC,45,44,40,910.20,"36,408.00"
278,2023072005003638,NTC,14,44,20,910.30,"18,206.00"
279,2023072005003637,NTC,59,44,25,910.50,"22,762.50"
280,2023072005003636,NRN,50,38,45,510.10,"22,954.50"
281,2023072005003635,HIDCL,6,3,68,184.00,"12,512.00"
282,2023072005003634,HIDCL,57,3,10,184.00,"1,840.00"
283,2023072005003633,HIDCL,19,3,100,184.00,"18,400.00"
284,2023072005003632,HIDCL,34,3,48,184.00,"8,832.00"
285,2023072005003631,HIDCL,35,3,10,184.00,"1,840.00"
286,2023072005003630,HIDCL,38,3,150,184.00,"27,600.00"
287,2023072005003629,HIDCL,57,3,42,184.00,"7,728.00"
288,2023072005003628,HIDCL,34,3,100,184.00,"18,400.00"
289,2023072005003627,HIDCL,35,3,50,184.00,"9,200.00"
290,2023072005003626,HIDCL,58,3,20,184.00,"3,680.00"
291,2023072005003625,HIDCL,1,3,15,184.00,"2,760.00"
292,2023072005003624,HIDCL,51,3,19,184.00,"3,496.00"
293,2023072005003623,HIDCL,48,3,14,184.00,"2,576.00"
294,2023072005003622,HIDCL,34,3,272,184.00,"50,048.00"
295,2023072005003621,HIDCL,1,3,977,184.00,"179,768.00"
296,2023072005003620,HIDCL,48,3,105,184.10,"19,330.50"
297,2023072005003619,HIDCL,58,38,10,184.40,"1,844.00"
298,2023072005003618,CIT,44,25,46,"2,119.00","97,474.00"
299,2023072005003617,CIT,44,49,54,"2,119.00","114,426.00"
300,2023072005003616,HIDCL,32,21,146,184.80,"26,980.80"
301,2023072005003615,HIDCL,32,54,50,184.50,"9,225.00"
302,2023072005003614,HIDCL,32,56,604,184.50,"111,438.00"
303,2023072005003613,NRIC,33,33,10,738.00,"7,380.00"
304,2023072005003612,STC,58,14,10,"5,450.00","54,500.00"
305,2023072005003611,STC,58,14,10,"5,451.00","54,510.00"
306,2023072005003610,SEF,58,53,260,9.00,"2,340.00"
307,2023072005003609,NRIC,14,33,90,738.00,"66,420.00"
308,2023072005003608,NICFC,47,58,100,9.31,931.00
309,2023072005003607,NRIC,21,32,25,738.00,"18,450.00"
310,2023072005003606,NIFRA,36,3,200,224.50,"44,900.00"
311,2023072005003605,CHDC,17,16,40,967.00,"38,680.00"
312,2023072005003604,CHDC,17,16,10,967.00,"9,670.00"
313,2023072005003603,NIFRA,36,25,54,224.50,"12,123.00"
314,2023072005003602,HIDCL,1,3,23,184.00,"4,232.00"
315,2023072005003601,HIDCL,35,3,217,184.00,"39,928.00"
316,2023072005003600,HIDCL,6,3,10,184.10,"1,841.00"
317,2023072005003599,HIDCL,50,3,490,184.20,"90,258.00"
318,2023072005003598,HIDCL,22,3,50,184.30,"9,215.00"
319,2023072005003597,HIDCL,21,3,300,184.30,"55,290.00"
320,2023072005003596,HIDCL,59,3,910,184.40,"167,804.00"
321,2023072005003595,KDBY,48,57,600,9.21,"5,526.00"
322,2023072005003594,HIDCL,51,56,16,184.50,"2,952.00"
323,2023072005003593,HIDCL,26,56,380,184.50,"70,110.00"
324,2023072005003592,NRIC,45,32,250,738.00,"184,500.00"
325,2023072005003591,NICGF,5,47,"30,000",10.25,"307,500.00"
326,2023072005003590,NICGF,32,47,"9,800",10.26,"100,548.00"
327,2023072005003589,NIFRA,32,4,10,224.90,"2,249.00"
328,2023072005003588,CIT,11,49,20,"2,119.00","42,380.00"
329,2023072005003587,ENL,6,43,49,721.00,"35,329.00"
330,2023072005003586,ENL,6,32,10,721.00,"7,210.00"
331,2023072005003585,ENL,6,55,20,721.00,"14,420.00"
332,2023072005003584,CIT,44,50,20,"2,119.00","42,380.00"
333,2023072005003583,CIT,11,45,20,"2,120.00","42,400.00"
334,2023072005003582,CIT,44,49,77,"2,119.00","163,163.00"
335,2023072005003581,CIT,44,49,23,"2,119.00","48,737.00"
336,2023072005003580,KEF,16,35,500,9.13,"4,565.00"
337,2023072005003579,ENL,6,25,10,720.00,"7,200.00"
338,2023072005003578,ENL,6,20,11,720.00,"7,920.00"
339,2023072005003577,NRN,50,57,155,510.10,"79,065.50"
340,2023072005003576,NRN,44,57,345,511.00,"176,295.00"
341,2023072005003575,NRIC,41,48,28,739.00,"20,692.00"
342,2023072005003574,NIFRA,36,3,364,224.50,"81,718.00"
343,2023072005003573,NIFRA,16,3,400,224.60,"89,840.00"
344,2023072005003572,NIFRA,4,3,400,224.60,"89,840.00"
345,2023072005003571,NIFRA,13,3,200,224.60,"44,920.00"
346,2023072005003570,NIFRA,36,3,700,224.70,"157,290.00"
347,2023072005003569,NIFRA,40,3,200,224.70,"44,940.00"
348,2023072005003568,NIFRA,52,3,50,224.70,"11,235.00"
349,2023072005003567,NIFRA,37,3,18,224.70,"4,044.60"
350,2023072005003566,NIFRA,45,3,345,224.80,"77,556.00"
351,2023072005003565,NIFRA,1,3,20,224.90,"4,498.00"
